id,organization_id,url,type,species,breeds,colors,age,gender,size,coat,attributes,environment,tags,name,description,organization_animal_id,photos,primary_photo_cropped,videos,status,status_changed_at,published_at,distance,contact,_links
48719621,TX1334,https://www.petfinder.com/cat/lemur-48719621/tx/austin/austin-siamese-rescue-tx1334/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Cat,Cat,"{'primary': 'Siamese', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Medium,,"{'spayed_neutered': False, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': True}",[],Lemur,You can fill out an adoption application online on our official website.,15839712-ASR4054,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/1/?bust=1596855406&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/1/?bust=1596855406&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/1/?bust=1596855406&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/1/?bust=1596855406'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/2/?bust=1596855412&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/2/?bust=1596855412&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/2/?bust=1596855412&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/2/?bust=1596855412'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/3/?bust=1596855413&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/3/?bust=1596855413&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/3/?bust=1596855413&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/3/?bust=1596855413'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/1/?bust=1596855406&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/1/?bust=1596855406&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/1/?bust=1596855406&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719621/1/?bust=1596855406'}",[],adopted,2020-08-08T02:46:42+0000,2020-08-08T02:46:42+0000,,"{'email': 'loveasiamese2@yahoo.com', 'phone': '512-354-7875', 'address': {'address1': 'P.O. Box 13474', 'address2': None, 'city': 'Austin', 'state': 'TX', 'postcode': '78711', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719621'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/tx1334'}}"
48719618,TX1334,https://www.petfinder.com/cat/emu-48719618/tx/austin/austin-siamese-rescue-tx1334/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Cat,Cat,"{'primary': 'Siamese', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Male,Small,,"{'spayed_neutered': False, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': True}",[],Emu,You can fill out an adoption application online on our official website.,15839676-ASR4051,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/1/?bust=1596855413&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/1/?bust=1596855413&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/1/?bust=1596855413&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/1/?bust=1596855413'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/3/?bust=1596855408&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/3/?bust=1596855408&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/3/?bust=1596855408&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/3/?bust=1596855408'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/2/?bust=1596855413&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/2/?bust=1596855413&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/2/?bust=1596855413&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/2/?bust=1596855413'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/1/?bust=1596855413&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/1/?bust=1596855413&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/1/?bust=1596855413&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719618/1/?bust=1596855413'}",[],adopted,2020-08-08T02:46:41+0000,2020-08-08T02:46:41+0000,,"{'email': 'loveasiamese2@yahoo.com', 'phone': '512-354-7875', 'address': {'address1': 'P.O. Box 13474', 'address2': None, 'city': 'Austin', 'state': 'TX', 'postcode': '78711', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719618'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/tx1334'}}"
48719554,IN353,https://www.petfinder.com/cat/carmel-48719554/in/greenfield/partners-for-animal-welfare-society-inc-in353/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': 'Tortoiseshell', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Female,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': False, 'special_needs': False, 'shots_current': False}","{'children': False, 'dogs': False, 'cats': False}",[],Carmel,You can fill out an adoption application online on our official website.Carmel was found as a stray with 4 newborn...,15530106-20F030,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/1/?bust=1596854674&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/1/?bust=1596854674&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/1/?bust=1596854674&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/1/?bust=1596854674'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/3/?bust=1596854668&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/3/?bust=1596854668&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/3/?bust=1596854668&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/3/?bust=1596854668'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/2/?bust=1596854668&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/2/?bust=1596854668&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/2/?bust=1596854668&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/2/?bust=1596854668'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/1/?bust=1596854674&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/1/?bust=1596854674&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/1/?bust=1596854674&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719554/1/?bust=1596854674'}",[],adopted,2020-08-08T02:34:24+0000,2020-08-08T02:34:24+0000,,"{'email': 'pawshancock1@gmail.com', 'phone': '(317) 318-9483', 'address': {'address1': '3141 West US 40', 'address2': 'Schakel Center', 'city': 'Greenfield', 'state': 'IN', 'postcode': '46140', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719554'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/in353'}}"
48719551,MN330,https://www.petfinder.com/dog/tikaani-48719551/mn/brooklyn-center/no-dog-left-behind-rescue-h-mn330/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Siberian Husky', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Large,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': True, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': None}",[],Tikaani,"You can fill out an adoption application online on our official website.
Hi my name is Tikaani! I am a...",15266096-2912,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/1/?bust=1596854639&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/1/?bust=1596854639&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/1/?bust=1596854639&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/1/?bust=1596854639'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/2/?bust=1596854641&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/2/?bust=1596854641&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/2/?bust=1596854641&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/2/?bust=1596854641'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/3/?bust=1596854642&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/3/?bust=1596854642&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/3/?bust=1596854642&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/3/?bust=1596854642'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/1/?bust=1596854639&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/1/?bust=1596854639&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/1/?bust=1596854639&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719551/1/?bust=1596854639'}",[],adopted,2020-08-08T02:33:55+0000,2020-08-08T02:33:55+0000,,"{'email': 'info@NDLBrescue.org', 'phone': '(612) 354-6352', 'address': {'address1': 'PO Box 29461', 'address2': None, 'city': 'Brooklyn Center', 'state': 'MN', 'postcode': '55429', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719551'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/mn330'}}"
48719537,CO202,https://www.petfinder.com/dog/mary-jane-48719537/co/aurora/animal-rescue-of-the-rockies-co202/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Labrador Retriever', 'secondary': 'Pit Bull Terrier', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Female,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Mary Jane,"You can fill out an adoption application online on our official website.Hi, I&amp;#39;m Mary Jane. More information on me coming...",15919106,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719537/1/?bust=1596854464&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719537/1/?bust=1596854464&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719537/1/?bust=1596854464&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719537/1/?bust=1596854464'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719537/1/?bust=1596854464&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719537/1/?bust=1596854464&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719537/1/?bust=1596854464&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719537/1/?bust=1596854464'}",[],adopted,2020-08-08T02:30:55+0000,2020-08-08T02:30:55+0000,,"{'email': 'ARRColorado@gmail.com', 'phone': '(970) 389-8324', 'address': {'address1': None, 'address2': None, 'city': 'Aurora', 'state': 'CO', 'postcode': '80012', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719537'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/co202'}}"
48719484,MD358,https://www.petfinder.com/dog/spring-48719484/md/baltimore/all-shepherd-rescue-md358/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'German Shepherd Dog', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Female,Medium,,"{'spayed_neutered': False, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': True, 'cats': None}",[],Spring,You can fill out an adoption application online on our official website.Spring ( now known as Penny) was recently returned...,11228430-715,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/1/?bust=1596853538&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/1/?bust=1596853538&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/1/?bust=1596853538&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/1/?bust=1596853538'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/2/?bust=1596853538&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/2/?bust=1596853538&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/2/?bust=1596853538&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/2/?bust=1596853538'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/3/?bust=1596853538&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/3/?bust=1596853538&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/3/?bust=1596853538&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/3/?bust=1596853538'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/1/?bust=1596853538&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/1/?bust=1596853538&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/1/?bust=1596853538&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719484/1/?bust=1596853538'}",[],adopted,2020-08-08T02:15:35+0000,2020-08-08T02:15:35+0000,,"{'email': 'adoptions@allshepherdrescue.com', 'phone': '(410) 775-6473', 'address': {'address1': 'P.O. Box 23231', 'address2': None, 'city': 'Baltimore', 'state': 'MD', 'postcode': '21203', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719484'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/md358'}}"
48719458,IN353,https://www.petfinder.com/cat/nina-48719458/in/greenfield/partners-for-animal-welfare-society-inc-in353/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': False, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Nina,"You can fill out an adoption application online on our official website.
Adopt a kitten from PAWS! This precious, playful...",15655926-20F066,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/1/?bust=1596852872&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/1/?bust=1596852872&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/1/?bust=1596852872&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/1/?bust=1596852872'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/2/?bust=1596852873&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/2/?bust=1596852873&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/2/?bust=1596852873&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/2/?bust=1596852873'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/3/?bust=1596852873&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/3/?bust=1596852873&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/3/?bust=1596852873&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/3/?bust=1596852873'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/1/?bust=1596852872&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/1/?bust=1596852872&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/1/?bust=1596852872&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719458/1/?bust=1596852872'}",[],adopted,2020-08-08T02:04:16+0000,2020-08-08T02:04:16+0000,,"{'email': 'pawshancock1@gmail.com', 'phone': '(317) 318-9483', 'address': {'address1': '3141 West US 40', 'address2': 'Schakel Center', 'city': 'Greenfield', 'state': 'IN', 'postcode': '46140', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719458'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/in353'}}"
48719447,NC1051,https://www.petfinder.com/dog/sarge-48719447/nc/rocky-point/blue-moon-shepherd-rescue-inc-nc1051/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'German Shepherd Dog', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Large,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': True, 'dogs': True, 'cats': True}",[],Sarge,"Meet Romeo, a 3 year old German Shepherd. He&amp;#39;s a very sweet, wonderful boy and enjoys getting and giving lots...",15091628,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/1/?bust=1596852704&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/1/?bust=1596852704&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/1/?bust=1596852704&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/1/?bust=1596852704'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/3/?bust=1596852703&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/3/?bust=1596852703&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/3/?bust=1596852703&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/3/?bust=1596852703'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/2/?bust=1596852704&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/2/?bust=1596852704&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/2/?bust=1596852704&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/2/?bust=1596852704'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/1/?bust=1596852704&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/1/?bust=1596852704&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/1/?bust=1596852704&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48719447/1/?bust=1596852704'}",[],adopted,2020-08-08T02:01:38+0000,2020-08-08T02:01:38+0000,,"{'email': 'BMSR1313@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Rocky Point', 'state': 'NC', 'postcode': '28457', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719447'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/nc1051'}}"
id,organization_id,url,type,species,breeds,colors,age,gender,size,coat,attributes,environment,tags,name,description,organization_animal_id,photos,primary_photo_cropped,videos,status,status_changed_at,published_at,distance,contact,_links
48719814,FL1388,https://www.petfinder.com/dog/mercedes-48719814/fl/pensacola/amazing-grace-bully-rescue-fl1388/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Yorkshire Terrier', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Female,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Mercedes,"You can fill out an adoption application online on our official website.

Amazing Grace Bully Rescue is a foster based...",15933660,[],,[],adopted,2020-08-08T03:48:19+0000,2020-08-08T03:48:19+0000,,"{'email': 'amazinggracebullyrescue@gmail.com', 'phone': '(850) 723-2037', 'address': {'address1': None, 'address2': None, 'city': 'Pensacola', 'state': 'FL', 'postcode': '32526', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719814'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl1388'}}"
48719815,FL1388,https://www.petfinder.com/dog/inky-48719815/fl/pensacola/amazing-grace-bully-rescue-fl1388/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Chihuahua', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Female,Medium,,"{'spayed_neutered': False, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Inky,"You can fill out an adoption application online on our official website.

Amazing Grace Bully Rescue is a foster based...",15933667,[],,[],adopted,2020-08-08T03:48:19+0000,2020-08-08T03:48:19+0000,,"{'email': 'amazinggracebullyrescue@gmail.com', 'phone': '(850) 723-2037', 'address': {'address1': None, 'address2': None, 'city': 'Pensacola', 'state': 'FL', 'postcode': '32526', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719815'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl1388'}}"
48719813,FL1388,https://www.petfinder.com/dog/gizmo-48719813/fl/pensacola/amazing-grace-bully-rescue-fl1388/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Yorkshire Terrier', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Male,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Gizmo,"You can fill out an adoption application online on our official website.

Amazing Grace Bully Rescue is a foster based...",15933685,[],,[],adopted,2020-08-08T03:48:18+0000,2020-08-08T03:48:18+0000,,"{'email': 'amazinggracebullyrescue@gmail.com', 'phone': '(850) 723-2037', 'address': {'address1': None, 'address2': None, 'city': 'Pensacola', 'state': 'FL', 'postcode': '32526', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719813'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl1388'}}"
48719794,MN262,https://www.petfinder.com/cat/cookie-48719794/mn/blue-earth/faribault-county-humane-society-mn262/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Medium,Short,"{'spayed_neutered': False, 'house_trained': False, 'declawed': False, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Cookie,,,[],,[],adopted,2020-08-08T03:45:34+0000,2020-08-08T03:41:01+0000,,"{'email': 'fchspaws@gmail.com', 'phone': None, 'address': {'address1': '521 N Grant Street', 'address2': None, 'city': 'Blue Earth', 'state': 'MN', 'postcode': '56013', 'country': 'US'}}","{'self': {'href': '/v2/animals/48719794'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/mn262'}}"
